City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Amuntai,ID,-2.4177,115.2494,72.82,98,100,1.52,overcast clouds
329,Chumikan,RU,54.7183,135.315,9.1,96,100,5.59,light snow
330,Kumagaya,JP,36.1333,139.3833,35.01,94,100,5.5,overcast clouds
331,Souillac,MU,-20.5167,57.5167,79.18,83,40,3.44,light rain
332,Isangel,VU,-19.55,169.2667,80.11,91,100,23.0,overcast clouds
333,Paita,PE,-5.0892,-81.1144,82.96,58,74,8.55,broken clouds
334,Kavieng,PG,-2.5744,150.7967,80.76,80,96,7.83,light rain
335,Kerema,PG,-7.9631,145.7785,79.12,83,100,7.52,light rain
336,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,3.44,light rain
337,Pietersburg,ZA,-23.9045,29.4688,77.85,41,20,9.22,few clouds
338,Lavrentiya,RU,65.5833,-171.0,-29.97,96,50,4.34,scattered clouds
339,Harper,LR,4.375,-7.7169,82.87,74,44,11.03,scattered clouds
340,Vilyuysk,RU,63.7553,121.6247,-38.97,100,68,2.51,broken clouds
341,Leningradskiy,RU,69.3833,178.4167,-24.0,96,98,4.61,overcast clouds
342,Coihaique,CL,-45.5752,-72.0662,61.41,35,40,8.05,scattered clouds
343,Xichang,CN,27.8964,102.2634,42.4,72,0,2.66,clear sky
